areaCode,areaName,areaType,date,cumCasesBySpecimenDate,newCasesBySpecimenDate
K02000001,United Kingdom,overview,2021-12-01,10329074,11345
K02000001,United Kingdom,overview,2021-11-30,10317729,44859
K02000001,United Kingdom,overview,2021-11-29,10272870,52149
K02000001,United Kingdom,overview,2021-11-28,10220721,38373
K02000001,United Kingdom,overview,2021-11-27,10182348,32257
K02000001,United Kingdom,overview,2021-11-26,10150091,38397
K02000001,United Kingdom,overview,2021-11-25,10111694,42417
K02000001,United Kingdom,overview,2021-11-24,10069277,45735
K02000001,United Kingdom,overview,2021-11-23,10023542,47202
K02000001,United Kingdom,overview,2021-11-22,9976340,49716
K02000001,United Kingdom,overview,2021-11-21,9926624,36469
K02000001,United Kingdom,overview,2021-11-20,9890155,34634
K02000001,United Kingdom,overview,2021-11-19,9855521,38909
K02000001,United Kingdom,overview,2021-11-18,9816612,43213
K02000001,United Kingdom,overview,2021-11-17,9773399,45015
K02000001,United Kingdom,overview,2021-11-16,9728384,45388
K02000001,United Kingdom,overview,2021-11-15,9682996,49982
K02000001,United Kingdom,overview,2021-11-14,9633014,34797
K02000001,United Kingdom,overview,2021-11-13,9598217,32321
K02000001,United Kingdom,overview,2021-11-12,9565896,36995
K02000001,United Kingdom,overview,2021-11-11,9528901,40230
K02000001,United Kingdom,overview,2021-11-10,9488671,42084
K02000001,United Kingdom,overview,2021-11-09,9446587,41440
K02000001,United Kingdom,overview,2021-11-08,9405147,43288
K02000001,United Kingdom,overview,2021-11-07,9361859,29982
K02000001,United Kingdom,overview,2021-11-06,9331877,26930
K02000001,United Kingdom,overview,2021-11-05,9304947,29723
K02000001,United Kingdom,overview,2021-11-04,9275224,32339
K02000001,United Kingdom,overview,2021-11-03,9242885,35016
K02000001,United Kingdom,overview,2021-11-02,9207869,37112
K02000001,United Kingdom,overview,2021-11-01,9170757,44186
K02000001,United Kingdom,overview,2021-10-31,9126571,34130
K02000001,United Kingdom,overview,2021-10-30,9092441,33017
K02000001,United Kingdom,overview,2021-10-29,9059424,39533
K02000001,United Kingdom,overview,2021-10-28,9019891,40654
K02000001,United Kingdom,overview,2021-10-27,8979237,42279
K02000001,United Kingdom,overview,2021-10-26,8936958,41415
K02000001,United Kingdom,overview,2021-10-25,8895543,46638
K02000001,United Kingdom,overview,2021-10-24,8848905,35145
K02000001,United Kingdom,overview,2021-10-23,8813760,34539
K02000001,United Kingdom,overview,2021-10-22,8779221,39976
K02000001,United Kingdom,overview,2021-10-21,8739245,44436
K02000001,United Kingdom,overview,2021-10-20,8694809,50827
K02000001,United Kingdom,overview,2021-10-19,8643982,51585
K02000001,United Kingdom,overview,2021-10-18,8592397,56710
K02000001,United Kingdom,overview,2021-10-17,8535687,42983
K02000001,United Kingdom,overview,2021-10-16,8492704,37282
K02000001,United Kingdom,overview,2021-10-15,8455422,42870
K02000001,United Kingdom,overview,2021-10-14,8412552,45634
K02000001,United Kingdom,overview,2021-10-13,8366918,46985
K02000001,United Kingdom,overview,2021-10-12,8319933,47506
K02000001,United Kingdom,overview,2021-10-11,8272427,49459
K02000001,United Kingdom,overview,2021-10-10,8222968,35830
K02000001,United Kingdom,overview,2021-10-09,8187138,31723
K02000001,United Kingdom,overview,2021-10-08,8155415,35011
K02000001,United Kingdom,overview,2021-10-07,8120404,37885
K02000001,United Kingdom,overview,2021-10-06,8082519,38618
K02000001,United Kingdom,overview,2021-10-05,8043901,38622
K02000001,United Kingdom,overview,2021-10-04,8005279,43078
K02000001,United Kingdom,overview,2021-10-03,7962201,31514
K02000001,United Kingdom,overview,2021-10-02,7930687,25903
K02000001,United Kingdom,overview,2021-10-01,7904784,28641
K02000001,United Kingdom,overview,2021-09-30,7876143,32016
K02000001,United Kingdom,overview,2021-09-29,7844127,34301
K02000001,United Kingdom,overview,2021-09-28,7809826,35935
K02000001,United Kingdom,overview,2021-09-27,7773891,40921
K02000001,United Kingdom,overview,2021-09-26,7732970,31524
K02000001,United Kingdom,overview,2021-09-25,7701446,27860
K02000001,United Kingdom,overview,2021-09-24,7673586,31606
K02000001,United Kingdom,overview,2021-09-23,7641980,35215
K02000001,United Kingdom,overview,2021-09-22,7606765,36158
K02000001,United Kingdom,overview,2021-09-21,7570607,38263
K02000001,United Kingdom,overview,2021-09-20,7532344,40114
K02000001,United Kingdom,overview,2021-09-19,7492230,30544
K02000001,United Kingdom,overview,2021-09-18,7461686,26301
K02000001,United Kingdom,overview,2021-09-17,7435385,29064
K02000001,United Kingdom,overview,2021-09-16,7406321,29175
K02000001,United Kingdom,overview,2021-09-15,7377146,29945
K02000001,United Kingdom,overview,2021-09-14,7347201,30937
K02000001,United Kingdom,overview,2021-09-13,7316264,34123
K02000001,United Kingdom,overview,2021-09-12,7282141,23665
K02000001,United Kingdom,overview,2021-09-11,7258476,23211
K02000001,United Kingdom,overview,2021-09-10,7235265,28727
K02000001,United Kingdom,overview,2021-09-09,7206538,33408
K02000001,United Kingdom,overview,2021-09-08,7173130,35241
K02000001,United Kingdom,overview,2021-09-07,7137889,38016
K02000001,United Kingdom,overview,2021-09-06,7099873,44145
K02000001,United Kingdom,overview,2021-09-05,7055728,31263
K02000001,United Kingdom,overview,2021-09-04,7024465,31361
K02000001,United Kingdom,overview,2021-09-03,6993104,38024
K02000001,United Kingdom,overview,2021-09-02,6955080,41626
K02000001,United Kingdom,overview,2021-09-01,6913454,42832
K02000001,United Kingdom,overview,2021-08-31,6870622,44473
K02000001,United Kingdom,overview,2021-08-30,6826149,34170
K02000001,United Kingdom,overview,2021-08-29,6791979,25698
K02000001,United Kingdom,overview,2021-08-28,6766281,27176
K02000001,United Kingdom,overview,2021-08-27,6739105,33177
K02000001,United Kingdom,overview,2021-08-26,6705928,36988
K02000001,United Kingdom,overview,2021-08-25,6668940,38101
K02000001,United Kingdom,overview,2021-08-24,6630839,37025
K02000001,United Kingdom,overview,2021-08-23,6593814,39045
K02000001,United Kingdom,overview,2021-08-22,6554769,28298
K02000001,United Kingdom,overview,2021-08-21,6526471,28096
K02000001,United Kingdom,overview,2021-08-20,6498375,31671
K02000001,United Kingdom,overview,2021-08-19,6466704,35829
K02000001,United Kingdom,overview,2021-08-18,6430875,38011
K02000001,United Kingdom,overview,2021-08-17,6392864,37190
K02000001,United Kingdom,overview,2021-08-16,6355674,36192
K02000001,United Kingdom,overview,2021-08-15,6319482,24921
K02000001,United Kingdom,overview,2021-08-14,6294561,24653
K02000001,United Kingdom,overview,2021-08-13,6269908,28451
K02000001,United Kingdom,overview,2021-08-12,6241457,31129
K02000001,United Kingdom,overview,2021-08-11,6210328,32739
K02000001,United Kingdom,overview,2021-08-10,6177589,30920
K02000001,United Kingdom,overview,2021-08-09,6146669,31531
K02000001,United Kingdom,overview,2021-08-08,6115138,22421
K02000001,United Kingdom,overview,2021-08-07,6092717,22120
K02000001,United Kingdom,overview,2021-08-06,6070597,27540
K02000001,United Kingdom,overview,2021-08-05,6043057,31079
K02000001,United Kingdom,overview,2021-08-04,6011978,31731
K02000001,United Kingdom,overview,2021-08-03,5980247,29815
K02000001,United Kingdom,overview,2021-08-02,5950432,29279
K02000001,United Kingdom,overview,2021-08-01,5921153,20515
K02000001,United Kingdom,overview,2021-07-31,5900638,20153
K02000001,United Kingdom,overview,2021-07-30,5880485,24277
K02000001,United Kingdom,overview,2021-07-29,5856208,27910
K02000001,United Kingdom,overview,2021-07-28,5828298,29664
K02000001,United Kingdom,overview,2021-07-27,5798634,29044
K02000001,United Kingdom,overview,2021-07-26,5769590,29393
K02000001,United Kingdom,overview,2021-07-25,5740197,21768
K02000001,United Kingdom,overview,2021-07-24,5718429,22482
K02000001,United Kingdom,overview,2021-07-23,5695947,27271
K02000001,United Kingdom,overview,2021-07-22,5668676,30750
K02000001,United Kingdom,overview,2021-07-21,5637926,34931
K02000001,United Kingdom,overview,2021-07-20,5602995,39074
K02000001,United Kingdom,overview,2021-07-19,5563921,46900
K02000001,United Kingdom,overview,2021-07-18,5517021,35503
K02000001,United Kingdom,overview,2021-07-17,5481518,37849
K02000001,United Kingdom,overview,2021-07-16,5443669,54235
K02000001,United Kingdom,overview,2021-07-15,5389434,60765
K02000001,United Kingdom,overview,2021-07-14,5328669,53821
K02000001,United Kingdom,overview,2021-07-13,5274848,46733
K02000001,United Kingdom,overview,2021-07-12,5228115,43645
