Country,Year,Value
Australia,2000,130
Australia,2001,134.3
Australia,2002,131.2
Australia,2003,131
Australia,2004,134
Australia,2005,137.3
Australia,2006,143.4
Australia,2007,143.9
Australia,2008,141
Australia,2009,143.6
Australia,2010,145.9
Australia,2011,148.6
Australia,2012,152.4
Australia,2013,150.9
Australia,2014,155.6
Australia,2015,156.7
Australia,2016,157.6
Australia,2017,157.6
Australia,2018,157.9
Austria,2000,159
Austria,2001,160.7
Austria,2002,154.3
Austria,2003,151.3
Austria,2004,155.6
Austria,2005,152.3
Austria,2006,162.3
Austria,2007,162.8
Austria,2008,161.9
Austria,2009,167.8
Austria,2010,170.3
Austria,2011,166.2
Austria,2012,167.7
Austria,2013,170.4
Austria,2014,162.2
Austria,2015,163.7
Austria,2016,162.3
Austria,2017,165.5
Austria,2018,166.5
Belgium,2000,161.5
Belgium,2001,164.9
Belgium,2002,165.8
Belgium,2003,162.1
Belgium,2004,160.8
Belgium,2005,163.3
Belgium,2006,163.6
Belgium,2007,165.2
Belgium,2008,162.4
Belgium,2009,159.4
Belgium,2010,161.3
Belgium,2011,167.7
Belgium,2012,161.6
Belgium,2013,162.3
Belgium,2014,161.7
Belgium,2015,166.6
Belgium,2016,165.2
Belgium,2017,166.9
Belgium,2018,161.2
Canada,2000,147.5
Canada,2001,145.5
Canada,2002,142.3
Canada,2003,148.1
Canada,2004,147.4
Canada,2005,144.3
Canada,2006,143.2
Canada,2007,144.9
Canada,2008,145.8
Canada,2009,145.3
Canada,2010,148.1
Canada,2011,149.7
Canada,2012,149
Canada,2013,147.1
Canada,2014,157.1
Canada,2015,158.5
Canada,2016,157.5
Canada,2017,157.5
Canada,2018,163.5
Czech Republic,2000,111.5
Czech Republic,2001,114.1
Czech Republic,2002,115.5
Czech Republic,2003,120.4
Czech Republic,2004,116.8
Czech Republic,2005,128.1
Czech Republic,2006,137.7
Czech Republic,2007,134.3
Czech Republic,2008,137.7
Czech Republic,2009,136.2
Czech Republic,2010,137.7
Czech Republic,2011,133.3
Czech Republic,2012,137
Czech Republic,2013,137.1
Czech Republic,2014,128.5
Czech Republic,2015,125
Czech Republic,2016,137.3
Czech Republic,2017,140.9
Czech Republic,2018,145.6
Denmark,2000,134
Denmark,2001,135.5
Denmark,2002,130.6
Denmark,2003,130.1
Denmark,2004,133.4
Denmark,2005,137.5
Denmark,2006,130.9
Denmark,2007,130.4
Denmark,2008,127.2
Denmark,2009,131.3
Denmark,2010,130.3
Denmark,2011,131.3
Denmark,2012,134.1
Denmark,2013,134.5
Denmark,2014,131.4
Denmark,2015,131.4
Denmark,2016,133.7
Denmark,2017,133.2
Denmark,2018,138.2
Finland,2000,122.9
Finland,2001,126.5
Finland,2002,127.5
Finland,2003,126
Finland,2004,126.1
Finland,2005,127.5
Finland,2006,129.1
Finland,2007,131.7
Finland,2008,131.7
Finland,2009,131.1
Finland,2010,134.4
Finland,2011,138
Finland,2012,137.5
Finland,2013,140.3
Finland,2014,142.1
