LOCATION,TIME,Value
AUS,2000,1852
AUS,2001,1829
AUS,2002,1818
AUS,2003,1807
AUS,2004,1811
AUS,2005,1808
AUS,2006,1802
AUS,2007,1803
AUS,2008,1799
AUS,2009,1767
AUS,2010,1778
AUS,2011,1774
AUS,2012,1771
AUS,2013,1766
AUS,2014,1755
AUS,2015,1751
AUS,2016,1739
AUS,2017,1738
AUS,2018,1733
AUS,2019,1722
AUS,2020,1683
AUT,2000,1675
AUT,2001,1663
AUT,2002,1661
AUT,2003,1652
AUT,2004,1655
AUT,2005,1632
AUT,2006,1617
AUT,2007,1606
AUT,2008,1599
AUT,2009,1558
AUT,2010,1552
AUT,2011,1557
AUT,2012,1535
AUT,2013,1520
AUT,2014,1510
AUT,2015,1495
AUT,2016,1507
AUT,2017,1498
AUT,2018,1502
AUT,2019,1509
AUT,2020,1400
BEL,2000,1589
BEL,2001,1581
BEL,2002,1594
BEL,2003,1598
BEL,2004,1588
BEL,2005,1578
BEL,2006,1592
BEL,2007,1594
BEL,2008,1582
BEL,2009,1563
BEL,2010,1574
BEL,2011,1590
BEL,2012,1587
BEL,2013,1586
BEL,2014,1582
BEL,2015,1575
BEL,2016,1574
BEL,2017,1578
BEL,2018,1580
BEL,2019,1576
BEL,2020,1481
CAN,2000,1787
CAN,2001,1774
CAN,2002,1755
CAN,2003,1745
CAN,2004,1755
CAN,2005,1745
CAN,2006,1744
CAN,2007,1744
CAN,2008,1741
CAN,2009,1712
CAN,2010,1715
CAN,2011,1713
CAN,2012,1722
CAN,2013,1716
CAN,2014,1710
CAN,2015,1712
CAN,2016,1706
CAN,2017,1695
CAN,2018,1708
CAN,2019,1690
CAN,2020,1644
CZE,2000,1900
CZE,2001,1823
CZE,2002,1812
CZE,2003,1799
CZE,2004,1814
CZE,2005,1803
CZE,2006,1789
CZE,2007,1775
CZE,2008,1790
CZE,2009,1779
CZE,2010,1799
CZE,2011,1805
CZE,2012,1776
CZE,2013,1764
CZE,2014,1774
CZE,2015,1751
CZE,2016,1774
CZE,2017,1776
CZE,2018,1785
CZE,2019,1784
CZE,2020,1705
DNK,2000,1466
DNK,2001,1469
DNK,2002,1463
DNK,2003,1458
DNK,2004,1458
DNK,2005,1451
DNK,2006,1456
DNK,2007,1433
DNK,2008,1430
DNK,2009,1417
DNK,2010,1422
DNK,2011,1437
DNK,2012,1423
DNK,2013,1426
DNK,2014,1414
DNK,2015,1407
DNK,2016,1412
DNK,2017,1404
DNK,2018,1381
DNK,2019,1381
DNK,2020,1346
FIN,2000,1650
FIN,2001,1636
FIN,2002,1628
FIN,2003,1623
FIN,2004,1624
FIN,2005,1613
FIN,2006,1608
FIN,2007,1605
FIN,2008,1601
FIN,2009,1580
FIN,2010,1585
FIN,2011,1578
FIN,2012,1568
FIN,2013,1560
FIN,2014,1558
FIN,2015,1555
FIN,2016,1555
FIN,2017,1549
FIN,2018,1546
FIN,2019,1539
FIN,2020,1531
FRA,2000,1558
FRA,2001,1538
FRA,2002,1504
FRA,2003,1507
FRA,2004,1531
FRA,2005,1532
FRA,2006,1515
FRA,2007,1537
FRA,2008,1543
FRA,2009,1531
FRA,2010,1540
FRA,2011,1546
FRA,2012,1541
FRA,2013,1526
FRA,2014,1518
FRA,2015,1519
FRA,2016,1522
FRA,2017,1508
FRA,2018,1514
FRA,2019,1511
FRA,2020,1402
DEU,2000,1465.9
DEU,2001,1458.2
DEU,2002,1448.9
DEU,2003,1443.4
DEU,2004,1442.6
DEU,2005,1432.4
DEU,2006,1453.2
DEU,2007,1454.1
DEU,2008,1447.3
DEU,2009,1405
DEU,2010,1425.7
DEU,2011,1426.9
DEU,2012,1408
DEU,2013,1396.5
DEU,2014,1400.4
DEU,2015,1401
DEU,2016,1395.6
DEU,2017,1389.1
DEU,2018,1386.9
DEU,2019,1382.8
DEU,2020,1331.7
GRC,2000,1998
GRC,2001,1992
GRC,2002,1984
GRC,2003,1983
GRC,2004,1974
GRC,2005,2025
GRC,2006,2015
GRC,2007,2001
GRC,2008,1997
GRC,2009,1973
GRC,2010,1931
GRC,2011,1950
GRC,2012,1990
GRC,2013,1997
GRC,2014,1949
GRC,2015,1935
GRC,2016,1943
GRC,2017,1947
GRC,2018,1965
GRC,2019,1920
GRC,2020,1728
HUN,2000,1932.4
HUN,2001,1897.8
HUN,2002,1883.6
HUN,2003,1856.3
HUN,2004,1858.6
HUN,2005,1834.1
HUN,2006,1813.9
HUN,2007,1787.8
HUN,2008,1791.2
HUN,2009,1758.2
HUN,2010,1766.4
HUN,2011,1753.7
HUN,2012,1738.3
HUN,2013,1733.6
HUN,2014,1748.6
HUN,2015,1745.9
HUN,2016,1760.2
HUN,2017,1747.4
HUN,2018,1729.9
HUN,2019,1722.2
HUN,2020,1660.3
ISL,2000,1696
ISL,2001,1707
ISL,2002,1672
ISL,2003,1639
ISL,2004,1645
ISL,2005,1637
ISL,2006,1627
ISL,2007,1605
ISL,2008,1625
ISL,2009,1536
ISL,2010,1528
ISL,2011,1538
ISL,2012,1523
ISL,2013,1524
ISL,2014,1513
ISL,2015,1511
ISL,2016,1520
ISL,2017,1507
ISL,2018,1496
ISL,2019,1480
ISL,2020,1435
IRL,2000,1933
IRL,2001,1924
IRL,2002,1904
IRL,2003,1887
IRL,2004,1875
IRL,2005,1883
IRL,2006,1879
IRL,2007,1865
IRL,2008,1844
IRL,2009,1812
IRL,2010,1721
IRL,2011,1737
IRL,2012,1738
IRL,2013,1743
IRL,2014,1757
IRL,2015,1771
IRL,2016,1763
IRL,2017,1775
IRL,2018,1782
IRL,2019,1771
IRL,2020,1746
ITA,2000,1850.2
ITA,2001,1837.6
ITA,2002,1826.2
ITA,2003,1815.1
ITA,2004,1814.6
ITA,2005,1811.1
ITA,2006,1811.9
ITA,2007,1817.7
ITA,2008,1806.5
ITA,2009,1775.2
ITA,2010,1776.8
ITA,2011,1772.6
ITA,2012,1733.6
ITA,2013,1719.1
ITA,2014,1716.3
ITA,2015,1717.5
ITA,2016,1721.7
ITA,2017,1719.2
ITA,2018,1719.4
ITA,2019,1714.7
ITA,2020,1558.7
JPN,2000,1821
JPN,2001,1809
JPN,2002,1798
JPN,2003,1799
JPN,2004,1787
JPN,2005,1775
JPN,2006,1784
JPN,2007,1785
JPN,2008,1771
JPN,2009,1714
JPN,2010,1733
JPN,2011,1728
JPN,2012,1745
JPN,2013,1734
JPN,2014,1729
JPN,2015,1719
JPN,2016,1714
JPN,2017,1709
JPN,2018,1680
JPN,2019,1644
JPN,2020,1598
KOR,2008,2228
KOR,2009,2174
KOR,2010,2163
KOR,2011,2136
KOR,2012,2119
KOR,2013,2106
KOR,2014,2076
KOR,2015,2083
KOR,2016,2068
KOR,2017,2018
KOR,2018,1993
KOR,2019,1967
KOR,2020,1908
LUX,2000,1602
LUX,2001,1586
LUX,2002,1581
LUX,2003,1579
LUX,2004,1578
LUX,2005,1550
LUX,2006,1552
LUX,2007,1566
LUX,2008,1567
LUX,2009,1517
LUX,2010,1517
LUX,2011,1515
LUX,2012,1508
LUX,2013,1503
LUX,2014,1506
LUX,2015,1514
LUX,2016,1512
LUX,2017,1506
LUX,2018,1506
LUX,2019,1506
LUX,2020,1427
MEX,2000,2174
MEX,2001,2146
MEX,2002,2196
MEX,2003,2143
MEX,2004,2123
MEX,2005,2105
MEX,2006,2067
MEX,2007,2045
MEX,2008,2105
MEX,2009,1973
MEX,2010,2150
MEX,2011,2121
MEX,2012,2120
MEX,2013,2136
MEX,2014,2134
MEX,2015,2140
MEX,2016,2146
MEX,2017,2149
MEX,2018,2149
MEX,2019,2139
MEX,2020,2124
NLD,2000,1464
NLD,2001,1454
NLD,2002,1436
NLD,2003,1428
NLD,2004,1448
NLD,2005,1434
NLD,2006,1430
NLD,2007,1429
NLD,2008,1429
NLD,2009,1420
NLD,2010,1420
NLD,2011,1420
NLD,2012,1411
NLD,2013,1415
NLD,2014,1426
NLD,2015,1426
NLD,2016,1437
NLD,2017,1437
NLD,2018,1436
NLD,2019,1440
NLD,2020,1399
NZL,2000,1836
NZL,2001,1825
NZL,2002,1826
NZL,2003,1823
NZL,2004,1830
NZL,2005,1815
NZL,2006,1795
NZL,2007,1774
NZL,2008,1761
NZL,2009,1740
NZL,2010,1755
