Year,Sector,Investment 
2010Q1, Business,39719
2010Q2, Business,38851
2010Q3, Business,40473
2010Q4, Business,43338
2011Q1, Business,39733
2011Q2, Business,41451
2011Q3, Business,43475
2011Q4, Business,44931
2012Q1, Business,45391
2012Q2, Business,42909
2012Q3, Business,44083
2012Q4, Business,46914
2013Q1, Business,44633
2013Q2, Business,45753
2013Q3, Business,47243
2013Q4, Business,47552
2014Q1, Business,47627
2014Q2, Business,49200
2014Q3, Business,49344
2014Q4, Business,50245
2015Q1, Business,52979
2015Q2, Business,52791
2015Q3, Business,52925
2015Q4, Business,55973
2016Q1, Business,56261
2016Q2, Business,56949
2016Q3, Business,57527
2016Q4, Business,55780
2017Q1, Business,56935
2017Q2, Business,57275
2017Q3, Business,56988
2017Q4, Business,57096
2018Q1, Business,57012
2018Q2, Business,56085
2018Q3, Business,55463
2018Q4, Business,55203
2019Q1, Business,56124
2019Q2, Business,56190
2019Q3, Business,56853
2019Q4, Business,56698
2020Q1, Business,55443
2020Q2, Business,43809
2020Q3, Business,49271
2020Q4, Business,52208
2021Q1, Business,47332
2021Q2, Business,49468
2021Q3, Business,49647
2010Q1,Manufacturing,5073
2010Q2,Manufacturing ,5126
2010Q3,Manufacturing ,5275
2010Q4,Manufacturing ,5387
2011Q1,Manufacturing ,5288
2011Q2,Manufacturing ,5492
2011Q3,Manufacturing ,5699
2011Q4,Manufacturing ,5812
2012Q1,Manufacturing ,6093
2012Q2,Manufacturing ,5979
2012Q3,Manufacturing ,6009
2012Q4,Manufacturing ,6171
2013Q1,Manufacturing ,6304
2013Q2,Manufacturing ,6165
2013Q3,Manufacturing ,6452
2013Q4,Manufacturing ,6375
2014Q1,Manufacturing ,6395
2014Q2,Manufacturing ,6712
2014Q3,Manufacturing ,6921
2014Q4,Manufacturing ,7373
2015Q1,Manufacturing ,7626
2015Q2,Manufacturing ,7983
2015Q3,Manufacturing ,7994
2015Q4,Manufacturing ,8025
2016Q1,Manufacturing ,8186
2016Q2,Manufacturing ,8214
2016Q3,Manufacturing ,8099
2016Q4,Manufacturing ,7628
2017Q1,Manufacturing ,8026
2017Q2,Manufacturing ,8399
2017Q3,Manufacturing ,8354
2017Q4,Manufacturing ,8562
2018Q1,Manufacturing ,8620
2018Q2,Manufacturing ,8527
2018Q3,Manufacturing ,8918
2018Q4,Manufacturing ,8994
2019Q1,Manufacturing ,8984
2019Q2,Manufacturing ,8925
2019Q3,Manufacturing ,8663
2019Q4,Manufacturing ,8367
2020Q1,Manufacturing ,8208
2020Q2,Manufacturing ,7126
2020Q3,Manufacturing ,7676
2020Q4,Manufacturing ,8038
2021Q1,Manufacturing ,7942
2021Q2,Manufacturing ,8553
2021Q3,Manufacturing ,8170
2010Q1,Non-Manufacturing,34646
2010Q2,Non-Manufacturing,33725
2010Q3,Non-Manufacturing,35198
2010Q4,Non-Manufacturing,37951
2011Q1,Non-Manufacturing,34445
2011Q2,Non-Manufacturing,35959
2011Q3,Non-Manufacturing,37776
2011Q4,Non-Manufacturing,39119
2012Q1,Non-Manufacturing,39298
2012Q2,Non-Manufacturing,36930
2012Q3,Non-Manufacturing,38074
2012Q4,Non-Manufacturing,40743
2013Q1,Non-Manufacturing,38329
2013Q2,Non-Manufacturing,39588
2013Q3,Non-Manufacturing,40791
2013Q4,Non-Manufacturing,41177
2014Q1,Non-Manufacturing,41232
2014Q2,Non-Manufacturing,42488
2014Q3,Non-Manufacturing,42423
2014Q4,Non-Manufacturing,42872
2015Q1,Non-Manufacturing,45353
2015Q2,Non-Manufacturing,44808
2015Q3,Non-Manufacturing,44931
2015Q4,Non-Manufacturing,47948
2016Q1,Non-Manufacturing,48075
2016Q2,Non-Manufacturing,48735
2016Q3,Non-Manufacturing,49428
2016Q4,Non-Manufacturing,48152
2017Q1,Non-Manufacturing,48909
2017Q2,Non-Manufacturing,48876
2017Q3,Non-Manufacturing,48634
2017Q4,Non-Manufacturing,48534
2018Q1,Non-Manufacturing,48392
2018Q2,Non-Manufacturing,47558
2018Q3,Non-Manufacturing,46545
2018Q4,Non-Manufacturing,46209
2019Q1,Non-Manufacturing,47140
2019Q2,Non-Manufacturing,47265
2019Q3,Non-Manufacturing,48190
2019Q4,Non-Manufacturing,48331
2020Q1,Non-Manufacturing,47235
2020Q2,Non-Manufacturing,36683
2020Q3,Non-Manufacturing,41595
2020Q4,Non-Manufacturing,44170
2021Q1,Non-Manufacturing,39390
2021Q2,Non-Manufacturing,40915
2021Q3,Non-Manufacturing,41477
