Year,Sector,Value 
1997,Business,150279
1998,Business,163312
1999,Business,165641
2000,Business,173747
2001,Business,171856
2002,Business,170841
2003,Business,170917
2004,Business,164426
2005,Business,193274
2006,Business,183647
2007,Business,198209
2008,Business,189237
2009,Business,157215
2010,Business,162373
2011,Business,169581
2012,Business,179290
2013,Business,185173
2014,Business,196408
2015,Business,214660
2016,Business,226516
2017,Business,228294
2018,Business,223764
2019,Business,225864
2020,Business,200731
1997,Non- Manufacturing,117339
1998,Non- Manufacturing,129334
1999,Non- Manufacturing,134526
2000,Non- Manufacturing,143245
2001,Non- Manufacturing,143191
2002,Non- Manufacturing,143640
2003,Non- Manufacturing,144792
2004,Non- Manufacturing,139210
2005,Non- Manufacturing,153833
2006,Non- Manufacturing,156430
2007,Non- Manufacturing,169044
2008,Non- Manufacturing,160553
2009,Non- Manufacturing,135909
2010,Non- Manufacturing,141520
2011,Non- Manufacturing,147299
2012,Non- Manufacturing,155045
2013,Non- Manufacturing,159885
2014,Non- Manufacturing,169015
2015,Non- Manufacturing,183040
2016,Non- Manufacturing,194390
2017,Non- Manufacturing,194953
2018,Non- Manufacturing,188704
2019,Non- Manufacturing,190925
2020,Non- Manufacturing,169683
1997,Manufacturing ,32945
1998,Manufacturing ,33978
1999,Manufacturing ,31121
2000,Manufacturing ,30506
2001,Manufacturing ,28671
2002,Manufacturing ,27209
2003,Manufacturing ,26133
2004,Manufacturing ,25224
2005,Manufacturing ,39444
2006,Manufacturing ,27223
2007,Manufacturing ,29173
2008,Manufacturing ,28691
2009,Manufacturing ,21315
2010,Manufacturing ,20861
2011,Manufacturing ,22291
2012,Manufacturing ,24252
2013,Manufacturing ,25296
2014,Manufacturing ,27401
2015,Manufacturing ,31628
2016,Manufacturing ,32127
2017,Manufacturing ,33341
2018,Manufacturing ,35059
2019,Manufacturing ,34939
2020,Manufacturing ,31048
