year,sector,investment 
1997,Business,150279
1998,Business,163312
1999,Business,165641
2000,Business,173747
2001,Business,171856
2002,Business,170841
2003,Business,170917
2004,Business,164426
2005,Business,193274
2006,Business,183647
2007,Business,198209
2008,Business,189237
2009,Business,157215
2010,Business,162373
2011,Business,169581
2012,Business,179290
2013,Business,185173
2014,Business,196408
2015,Business,214660
2016,Business,226516
2017,Business,228294
2018,Business,223764
2019,Business,225864
2020,Business,200731
