year,output
1972,2.8
1973,4.6
1974,-1.8
1975,0.6
1976,3.8
1977,1.6
1978,3.1
1979,2.4
1980,0.1
1981,4.4
1982,4.5
1983,5.3
1984,-0.6
1985,2.9
1986,2.5
1987,3
1988,1.7
1989,-0.3
1990,1.1
1991,3.4
1992,3.3
1993,3.6
1994,2.1
1995,0.8
1996,1.4
1997,1.2
1998,2.3
1999,2.2
2000,3.4
2001,1
2002,2.1
2003,2.5
2004,1.3
2005,1.5
2006,2.1
2007,1.3
2008,-0.6
2009,-1.3
2010,1.7
2011,1.3
2012,-0.3
2013,0
2014,0.2
2015,0.9
2016,1
2017,1.1
2018,0.7
2019,0.4
2020,0.8
